opcode 37, rd 22, rt 22, rn 30, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -2, braddr -42
opcode 2045, rd 0, rt 0, rn 0, rm 0, shamt 0, aluimm -2048, dtaddr 0, condaddr -196608, braddr -6291456
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 580, rd 2, rt 2, rn 1, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131041, braddr 20970530
opcode 1690, rd 3, rt 3, rn 1, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 131105, braddr -12581853
opcode 580, rd 1, rt 1, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778209
opcode 37, rd 15, rt 15, rn 30, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -2, braddr -49
opcode 2045, rd 0, rt 0, rn 0, rm 0, shamt 0, aluimm -2048, dtaddr 0, condaddr -196608, braddr -6291456
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 580, rd 2, rt 2, rn 1, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131041, braddr 20970530
opcode 580, rd 3, rt 3, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 16777251
opcode 580, rd 1, rt 1, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778209
opcode 37, rd 8, rt 8, rn 30, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -2, braddr -56
opcode 2045, rd 0, rt 0, rn 0, rm 0, shamt 0, aluimm -2048, dtaddr 0, condaddr -196608, braddr -6291456
